Drug_ID,Drug_name,Disease_ID,Disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Overall_Assessment
16842.0,Pramipexole,none,heart failure and Alzheimer disease,CompGCN,21,21,0,13,8,Neutral
17558.0,Pregabalin,none,heart failure and Alzheimer disease,CompGCN,24,24,0,9,15,Negative
14852.0,Procainamide,none,heart failure and Alzheimer disease,CompGCN,19,19,0,18,1,Neutral
14914.0,Procarbazine,none,heart failure and Alzheimer disease,CompGCN,6,6,0,4,2,Neutral
15100.0,Prochlorperazine,none,heart failure and Alzheimer disease,CompGCN,1,1,0,1,0,Neutral
14196.0,Propranolol,none,heart failure and Alzheimer disease,CompGCN,200,200,24,166,10,Neutral
17170.0,Pyridostigmine,none,heart failure and Alzheimer disease,CompGCN,20,20,6,13,1,Neutral
14184.0,Ritonavir,none,heart failure and Alzheimer disease,CompGCN,23,23,3,15,5,Neutral
17174.0,Rivastigmine,none,heart failure and Alzheimer disease,CompGCN,7,7,0,7,0,Neutral
15291.0,Ropinirole,none,heart failure and Alzheimer disease,CompGCN,10,10,0,8,2,Neutral
14975.0,Sirolimus,none,heart failure and Alzheimer disease,CompGCN,200,200,11,179,10,Neutral
15982.0,Sulfasalazine,none,heart failure and Alzheimer disease,CompGCN,11,11,0,8,3,Neutral
15294.0,Tacrine,none,heart failure and Alzheimer disease,CompGCN,76,76,0,76,0,Neutral
14251.0,Tacrolimus,none,heart failure and Alzheimer disease,CompGCN,122,122,1,111,10,Neutral
14868.0,Thiotepa,none,heart failure and Alzheimer disease,CompGCN,13,13,0,7,6,Inconclusive
14229.0,Tretinoin,none,heart failure and Alzheimer disease,CompGCN,70,70,3,57,10,Neutral
14023.0,Triamcinolone,none,heart failure and Alzheimer disease,CompGCN,5,5,1,4,0,Neutral
14955.0,Vincristine,none,heart failure and Alzheimer disease,CompGCN,78,78,1,70,7,Neutral
17728.0,Zoledronic acid,none,heart failure and Alzheimer disease,CompGCN,14,14,0,12,2,Neutral
